id,art,description,educational,favourite,in_car,indoor,max_time,min_time,more,motion,name,one,outdoor,summer,two,winter
259,false,"Pływanie na krytym basenie. Przydatne: strój, klapki, okulary, ręcznik, szampon, karnet",true,false,false,true,180,120,true,true,Basen kryty,true,false,true,true,true
260,false,"Pływanie na krytym basenie. Przydatne: strój, klapki, okulary, ręcznik, szampon, karnet",true,false,false,false,300,120,true,true,Basen odkryty,true,true,true,true,false
261,true,Uczestnik za pomocą mimiki i mowy ciała musi przedstawić zgadywane hasło. Nie może się przy tym odzywać. Przydatne: karteczki z hasłami,true,false,false,true,60,15,true,false,Kalambury pokazywane,false,true,true,true,true
262,false,Uczestnik przedstawia hasło za pomocą słów. Przydatne: karteczki z hasłami.,true,false,false,true,60,15,true,false,Kalambury mówione,false,true,true,true,true
263,true,"Uczestnik musi przedstawić hasło graficznie. Podczas rysowania nie może nic mówić. Przydatne: karteczki z hasłami, pisak, kartki papieru, taśma do ściany lub stojak na papier (flipchart).",true,false,false,true,60,15,true,false,Kalambury rysowane,false,true,true,true,true
265,true,"Kartki, kredki, farby, długopisy, etc.",false,false,false,true,60,15,true,false,Rysowanie/malowanie,true,true,true,true,true
266,true,Przydatne: puzzle.,true,false,false,true,60,15,true,false,Puzzle,true,false,true,true,true
267,false,"Przydatne: książki, czasopisma.",true,false,true,true,60,15,true,false,Czytanie,true,true,true,true,true
268,false,"Starsze dzieci mogą liczyć np. krowy. Młodsze, które jeszcze tego nie umieją, mogą ich po prostu wypatrywać. A liczyć można wszystko: panie w spódnicach lub panów na rowerze, znaki drogowe lub przejazdy kolejowe (do auta)",true,false,true,false,60,15,true,false,Liczenie wybranych rzeczy,true,true,true,true,true
269,false,"Wycieczki rowerowe, jazda rowerem koło domu",false,false,false,false,120,30,true,true,Rower,true,true,true,true,false
550,false,"Cudowna forma sportu rozwijająca sprawność ruchową oraz kontakt z naturą. Potrzebne: szkółka jeździecka, instruktor, toczek, opłata za jazdę konną",false,false,false,false,120,90,false,true,Nauka jazdy konnej,true,true,true,true,true
551,false,"Kontakt z naturą w czystej postaci... Zdrowy wysiłek w ciągu dnia - spokojny sen nocą;) Potrzebne: Dobra pogoda, wygodne buty, prowiant, kurtki przeciwdeszczowe, czapki z daszkiem",false,false,false,false,300,90,true,true,Wycieczka w góry lub do lasu,false,true,true,true,false
552,false,"Pobudzające myślenie i rozpalające emocje. Wśród setek gier planszowych na pewno znjdą się takie, które przypadną do gustu młodszym i starszym graczom jednocześnie. Potrzebne: planszówki, czas",true,false,false,true,120,30,true,false,Gry planszowe,false,false,true,true,true
553,false,"Jedna z najstarszych klasycznych gier, która wpływa na rozwój logicznego myślenia. Potrzebne: szachownica, bierki, partner do gry (ewentualnie program komputerowy)",true,false,false,true,120,15,false,false,Szachy/warcaby,false,true,true,true,true
554,false,"Szczególnie przydatne dla małych dzieci z rodzicami. Potrzebne: zabawki do piaskownicy, kreda do malowania asfaltu, chusteczki nawilżane do wytarcia szczęśliwych rączek",false,false,false,false,120,30,true,true,Plac zabaw,false,true,true,true,false
555,false,Dobre filmy rozwijają wyobraźnię i pomagają zrozumieć świat jedocześnie wzbudzając cudowne emocje. Potrzebne: bilety,true,false,false,true,180,120,true,false,Seans w kinie,false,false,true,true,true
556,false,Kontakt z żywą sztuką trudno jest zastąpić nawet najlepszym filmem. Wyjście do teatru na pewno będzie czymś wyjątkowym dla Twojego dziecka. Potrzebne: bilety,true,false,false,true,180,120,true,false,Występ teatralny,false,false,true,true,true
557,true,"Formowanie kompozycji z różnych materiałów i tworzyw. Potrzebne: materiały do pocięcia i naklejania, gruby papier, nożyczki, klej",false,false,false,true,90,30,true,false,Kolaż,true,false,true,true,true
558,true,Formowanie figur i kształtów rozwija sprawności manualne i wyobraźnię. Potrzebne: masa solna/modelina/glina,false,false,false,true,120,60,true,false,Lepienie,true,false,true,true,true
559,true,"Robienie i drukowanie śmiesznych zdjęć rozbawi każdego. Jest to również wspaniały prezent dla naszych bliskich biorących udział w zabawie. Potrzebne: drukarka, papier zwykły lub zdjęciowy, śmieszne rekwizyty",false,false,false,true,120,60,true,false,Śmieszne zdjęcia,false,true,true,true,true
560,false,"Jedna osoba (lub grupa osób) zasłania oczy i odlicza, w tym czasie reszta uczestników zabawy ma za zadanie schować się przed szukającym. Potrzebne: towarzystwo do zabawy",false,false,false,true,90,30,true,true,Zabawa w chowanego,false,true,true,true,true
561,false,"Gra ruchowa, polegająca na tym, że jedna osoba (nazywana berkiem) musi dotknąć dowolną z pozostałych osób. Potrzebne: towarzystwo do zabawy, dużo miejsca",false,false,false,false,60,15,true,true,Berek,false,true,true,true,true
562,false,"Rzucanie, kopanie, odbijanie. Potrzebne: piłka (dla małych dzieci miękka)",false,false,false,false,60,15,true,true,Zabawy z piłką,false,true,true,true,false
563,false,"Puszczanie latawca własnoręcznie wykonanego sprawia największą frajdę. Potrzebne: latawiec, wietrzna pogoda",false,false,false,false,60,30,true,true,Puszczanie latawców,true,true,true,true,false
564,true,"Najbardziej klasyczna zimowa zabawa. Koniecznie wymyślcie dla niego imię! Potrzebne: śnieg, rekwizyty",false,false,false,false,60,30,true,true,Lepienie bałwana,true,true,false,true,true
565,false,"Aby było ciekawiej można przygotować tor saneczkowy... Bierzemy dziecko na łopatę do odśnieżania i ciągniemy za sobą ubijając śnieg, jeżeli jest zbyt puszysty. Potrzebne: śnieg, sanki, ewentualnie jabłuszka lub worki z sianem",false,false,false,false,120,30,true,true,Jazda na sankach,true,true,false,true,true
566,false,"Smakowite zajęcie, dzięki któremu dziecko zdobywa praktyczne umiejętności i staje się bardziej samodzielne. Potrzebne: Przepisy, produkty, kuchnia",true,false,false,true,120,30,true,false,Wspólne gotowanie,false,false,true,true,true
567,true,"Robienie biżuterii z makaronu. Potrzebne: makaron (najlepiej rurki), nitki, farbki do malowania makaronu",false,false,false,true,60,30,true,false,Makaronowe naszyjniki,true,false,true,true,true
568,true,"Przygotowanie przedstawienia teatralnego. Potrzebne: materiały do przygotowania postaci i scenografii (papier, tektura), pomysł na sztukę",false,false,false,true,120,45,true,false,Teatrzyk z wycinanek,false,false,true,true,true
569,true,"Celem zabawy jest stworzenie miasta z dostępnych w domu lub na podwórzu przedmiotów Potrzebne: klocki, różne przedmioty",false,false,false,true,120,30,true,false,Budowanie miasta,true,false,true,true,true
570,false,"Szukanie grzybów jest przyjemne nawet, gdy ich nie znajdziemy. Potrzebne: koszyk, umiejętność odróżniania grzybów jadalnych od trujących;)",false,false,false,false,180,60,true,true,Zbieranie grzybów,false,true,true,true,false
571,false,"Rewelacyjna aktywność pod okiem dorosłego w połączeniu ze śpiewami i pieczeniem wszelakich smakołyków (kiełbasy, pianki, chleb, ziemniaki). Potrzebne: suche drewno, widełki, dobra pogoda, jedzenie",false,false,false,false,240,60,true,true,Ognisko,false,true,true,true,false
572,false,"W sali zabaw dziecko pod okiem doświadczonego personelu może świetnie się bawić samodzielnie, a dorosły znajdzie chwilę na kawę. Potrzebne: opłacenie pobytu w sali zabaw",false,false,false,true,120,45,true,true,Sala zabaw,true,false,true,true,true
573,false,W ogrodach doświadczeń namacalnie poznajemy prawa ze świata fizyki i nauki. Potrzebne: bilety,true,false,false,true,180,60,true,false,Ogrody doświadczeń,false,false,true,true,true
578,false,"Szczególnie przydatne w czasie długich podróży. Istnieje sporo aplikacji edukacyjnych, które będą pożyteczne dla Twojego dziecka. Potrzebne: naładowany smartfon, sprawdzona aplikacja",true,false,true,true,60,15,false,false,Aplikacje na smartfonie,true,true,true,false,true
579,false,"Na 'trzy' każdy układa dłoń w kamień (zaciśnięta pięść), papier (otwarta dłoń) lub nożyczki (dwa palce ułożone w kształt litery V). Papier pokonuje kamień, zawijając go, kamień pokonuje nożyczki, tępiąc je, a nożyczki wygrywają, tnąc papier",false,false,true,true,30,10,false,false,Papier - kamień - nożyce,false,true,true,true,true
580,false,"Układanie rymów tak długo, jak się da: grzyby – ryby – niby – siwy – leniwy – kłopotliwy – żartobliwy itd., lub rymowanych historyjek",false,false,true,true,45,15,false,false,Rymowanie,false,true,true,true,true
582,false,"Wymyślanie zagadek, np. jaki kolor będzie mieć samochód jadący z naprzeciwka?",false,false,true,true,45,15,true,false,Zgadywanie,false,true,true,true,true
583,false,"Odnajdywanie danej litery na bilbordach, sklepowych szyldach, na rejestracjach innych aut. Można tak przejść cały alfabet. Idealne do auta",true,false,true,false,45,15,true,false,Poszukiwania litery,false,true,true,true,true
584,false,"Układanie słów tak, by kolejne zaczynało się na ostatnią literę poprzedniego wyrazu, np. ananas – sok – kwiat – teczka itd. Można ustalić kategorię: imiona, zwierzęta, przedmioty. Zabawa ta znakomicie wzbogaca słownictwo dzieciaków",true,false,true,true,45,15,true,false,Łańcuszek słów,false,true,true,true,true
586,false,"Zabawa polega na wyszukaniu jak największej licby wyrazów zaczynających się na daną literę, np. “z”: zebra, zero, złoto, zez, zabawka itd.",true,false,true,true,45,15,true,false,Wyszukiwanie słów,false,true,true,true,true
587,false,"Np. ma skrzydła i bzyczy – wiadomo, mucha. Ale uwaga, zagadki nie mogą być zbyt łatwe",true,false,true,true,45,15,true,false,Układanie zagadek,false,true,true,true,true
588,false,Naśladowanie i zgadywanie dźwięków wydawanych przez zwierzęta lub przedmioty ,true,false,true,true,45,15,true,false,Zgadnij dźwięk,false,true,true,true,true
589,false,"Np. jaki ładunek może przewozić mijana właśnie ciężarówka? Musi być on oczywiście atrakcyjny dla dzieci np.: hulajnogi, lody, klocki, piasek (do samochodu)",true,false,true,true,45,15,true,false,Fantazjowanie,false,true,true,true,true
590,true,"Przydadzą się tabliczki do ścierania lub takie ze znikopisem. Dzieci mogą malować na nich same albo rodzic rysuje fragment obrazka, a dzieci ustalają, czego brakuje, i kończą rysunek. ",true,false,true,true,45,15,true,false,Rysowanie w aucie,true,true,true,true,true
591,false,"Zabawa dla małych dzieci. Zadaniem jest nazwanie potomstwa zwierząt, np.: dziecko krowy – cielątko, dziecko konia – źrebak, dziecko kury – kurczątko",true,false,true,true,15,5,true,false,Nazywanie zwierząt,true,true,true,true,true
592,false,"Ugniatanie różnych rzeczy z tzw. „sprytnej” plasteliny lub ciastoliny. Ugniatanie relaksuje, wycisza i bawi",false,false,false,true,45,15,true,false,Gniecenie,true,true,true,true,true
593,true,Pierwsza osoba wymyśla zdanie rozpoczynające historię a każda kolejna dokłada swoje aż powstanie historia/bajka,false,false,true,true,45,15,true,false,Układanie historii,false,true,true,true,true
594,false,"Klasyczna gra dla dwóch osób. Potrzebne: coś do pisania, coś na czym można pisać",false,false,true,true,30,10,false,false,Kółko-krzyżyk,false,true,true,true,true
595,false,"Zabawa taneczna w domu to escytujące urozmaicenie wolnego czasu. Potrzebne: muzyka, głośniki, rekwizyty, śmieszne stroje, przekąski, ozdoby, goście",false,false,false,true,360,180,true,true,Domówka,false,false,true,false,true
596,false,"Noc pod namiotem jest pełna wrażeń... Zwłaszcza gdy dzieciaki opowiadają sobie ciekawe historie przy świetle latarek. Potrzebne: namiot, latarki, śpiwory, karimaty",false,false,false,false,480,360,true,false,Spanie pod namiotem,false,true,true,true,false
597,false,"Wspólne oglądanie filmów najlepiej się sprawdza w czasie deszczowej pogody. Potrzebne: telewizor/laptop, przekąski",true,false,false,true,180,90,true,false,Wieczór filmowy,false,false,true,true,true
598,true,"Bardzo poprawia zdolności manualne. Potrzebne: papier, książka lub film z instrukcjami",false,false,false,true,90,15,true,false,Origami,true,false,true,true,true
599,true,"Własnoręcznie wykonane ozdoby świąteczne po prostu podobają się bardziej. Potrzebne: materiały papiernicze, ozdobne, nożyczki, klej",false,false,false,true,180,60,true,false,Robienie ozdób świątecznych,true,false,false,true,true
600,true,"Zamiast wyrzucać stare naczynia, można z nich zrobić dzieła sztuki. Potrzebne: odpowiednie farby, pędzle",false,false,false,true,180,60,true,false,Malowanie naczyń,true,false,true,true,true
